league,game_id,game_date,commence_time,home_team,away_team,home_team_key,away_team_key,status,completed,source_system,has_schedule_match,bookmaker_count,market_count,has_h2h,has_spreads,has_totals,display_matchup,display_time_utc,bridge_warning
wnba,b4000f482eecfb6c07655906beedad16,2026-06-12,2026-06-12T02:03:23Z,Portland Fire,Las Vegas Aces,POR,LVA,,False,odds_api_flattened,False,8,2,False,True,True,Las Vegas Aces at Portland Fire,2026-06-12T02:03:23Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,cb4366d10ad853bd024841c3f1b9ae3a,2026-06-12,2026-06-12T23:30:00Z,Washington Mystics,Toronto Tempo,WAS,TOR,,False,odds_api_flattened,False,10,3,True,True,True,Toronto Tempo at Washington Mystics,2026-06-12T23:30:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,f75137957fc43a4ea9a181e11d4538ad,2026-06-13,2026-06-13T02:00:00Z,Seattle Storm,Golden State Valkyries,SEA,GSV,,False,odds_api_flattened,False,10,3,True,True,True,Golden State Valkyries at Seattle Storm,2026-06-13T02:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13,2026-06-13T22:00:00Z,Connecticut Sun,Indiana Fever,CON,IND,,False,odds_api_flattened,False,5,3,True,True,True,Indiana Fever at Connecticut Sun,2026-06-13T22:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,2460c3f96c0544953ffbc6f0e4f0b2a0,2026-06-14,2026-06-14T02:00:00Z,Phoenix Mercury,Los Angeles Sparks,PHX,LAS,,False,odds_api_flattened,False,4,3,True,True,True,Los Angeles Sparks at Phoenix Mercury,2026-06-14T02:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,dae9bd45371f74a71f5634c0024aaea6,2026-06-20,2026-06-20T19:11:00Z,Phoenix Mercury,Seattle Storm,PHX,SEA,,False,odds_api_flattened,True,8,3,True,True,True,Seattle Storm at Phoenix Mercury,2026-06-20T19:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21,2026-06-21T00:00:00Z,Dallas Wings,Chicago Sky,DAL,CHI,,False,odds_api_flattened,True,11,3,True,True,True,Chicago Sky at Dallas Wings,2026-06-21T00:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,5f9b7e8e27d590f2a4c9c6b430128477,2026-06-21,2026-06-21T20:00:00Z,Las Vegas Aces,Golden State Valkyries,LVA,GSV,,False,odds_api_flattened,True,9,3,True,True,True,Golden State Valkyries at Las Vegas Aces,2026-06-21T20:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,5df3659e20a35abcf72ec218e1dbdf9d,2026-06-21,2026-06-21T22:00:00Z,Minnesota Lynx,Washington Mystics,MIN,WAS,,False,odds_api_flattened,True,9,3,True,True,True,Washington Mystics at Minnesota Lynx,2026-06-21T22:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,dcc24a28aff16f993c46e8db707b3e79,2026-06-22,2026-06-22T00:00:00Z,Los Angeles Sparks,New York Liberty,LAS,NYL,,False,odds_api_flattened,True,9,3,True,True,True,New York Liberty at Los Angeles Sparks,2026-06-22T00:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
wnba,c72d086a53d7b9b49f1daaf8754bd4e9,2026-07-01,2026-07-01T00:00:00Z,New York Liberty,Las Vegas Aces,NYL,LVA,,False,odds_api_flattened,True,7,3,True,True,True,Las Vegas Aces at New York Liberty,2026-07-01T00:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
