league,game_id,game_date,commence_time,home_team,away_team,home_team_key,away_team_key,status,completed,source_system,has_schedule_match,bookmaker_count,market_count,has_h2h,has_spreads,has_totals,display_matchup,display_time_utc,bridge_warning
mlb,3efd1785852b80caaeeb2e4b8e8db0f2,2026-06-20,2026-06-20T20:06:00Z,Texas Rangers,San Diego Padres,TEX,SD,,False,odds_api_flattened,False,8,3,True,True,True,San Diego Padres at Texas Rangers,2026-06-20T20:06:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,71d79346a4e1f6058e517c895d646f2e,2026-06-20,2026-06-20T20:11:00Z,Tampa Bay Rays,Washington Nationals,TB,WSH,,False,odds_api_flattened,False,8,3,True,True,True,Washington Nationals at Tampa Bay Rays,2026-06-20T20:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,954f9616bdfe5989a3ed4cc8cc1b3472,2026-06-20,2026-06-20T20:11:00Z,Atlanta Braves,Milwaukee Brewers,ATL,MIL,,False,odds_api_flattened,False,7,2,True,False,True,Milwaukee Brewers at Atlanta Braves,2026-06-20T20:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,a36cc8e7c18477f87bd91d87f8839f49,2026-06-20,2026-06-20T20:11:00Z,Miami Marlins,San Francisco Giants,MIA,SF,,False,odds_api_flattened,False,8,3,True,True,True,San Francisco Giants at Miami Marlins,2026-06-20T20:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,6344d2ce9df189689ed256d05cfcffb4,2026-06-20,2026-06-20T23:16:00Z,Philadelphia Phillies,New York Mets,PHI,NYM,,False,odds_api_flattened,False,11,3,True,True,True,New York Mets at Philadelphia Phillies,2026-06-20T23:16:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,d0bf798e1c85fe47d8160217d79b5a3e,2026-06-20,2026-06-20T23:16:00Z,Houston Astros,Cleveland Guardians,HOU,CLE,,False,odds_api_flattened,False,11,3,True,True,True,Cleveland Guardians at Houston Astros,2026-06-20T23:16:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,4bb2c510f37ac3221423f6fe96d81822,2026-06-21,2026-06-21T01:11:00Z,Colorado Rockies,Pittsburgh Pirates,COL,PIT,,False,odds_api_flattened,False,11,3,True,True,True,Pittsburgh Pirates at Colorado Rockies,2026-06-21T01:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,11f0aee64edb29086a8ca3368f0fe44f,2026-06-21,2026-06-21T02:06:00Z,Athletics,Los Angeles Angels,ATH,LAA,,False,odds_api_flattened,False,11,3,True,True,True,Los Angeles Angels at Athletics,2026-06-21T02:06:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,8e059160b850333f99e5414be7fede74,2026-06-21,2026-06-21T02:11:00Z,Los Angeles Dodgers,Baltimore Orioles,LAD,BAL,,False,odds_api_flattened,False,11,3,True,True,True,Baltimore Orioles at Los Angeles Dodgers,2026-06-21T02:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
mlb,bc0eb3e2abd5d0ddb3e22dc71abf652a,2026-06-21,2026-06-21T02:11:00Z,Arizona Diamondbacks,Minnesota Twins,ARI,MIN,,False,odds_api_flattened,False,11,3,True,True,True,Minnesota Twins at Arizona Diamondbacks,2026-06-21T02:11:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
